family,topk,sample_idx,conf_orig,conf_after_del,conf_drop
resnet18_cbam,0.2,7843,0.7868565320968628,0.14053985476493835,0.6463166773319244
resnet18_cbam,0.05,25933,0.9631367325782776,0.9638291597366333,-0.0006924271583557129
resnet18_cbam,0.1,25933,0.9631367325782776,0.9573085904121399,0.005828142166137695
resnet18_cbam,0.2,25933,0.9631367325782776,0.6812885999679565,0.28184813261032104
resnet18_cbam,0.05,7777,0.9995237588882446,0.9994637370109558,6.002187728881836e-05
resnet18_cbam,0.1,7777,0.9995237588882446,0.9994451403617859,7.861852645874023e-05
resnet18_cbam,0.2,7777,0.9995237588882446,0.9997013211250305,-0.00017756223678588867
resnet18_cbam,0.05,3199,0.9987862706184387,0.9987661838531494,2.008676528930664e-05
resnet18_cbam,0.1,3199,0.9987862706184387,0.9988319277763367,-4.565715789794922e-05
resnet18_cbam,0.2,3199,0.9987862706184387,0.998512327671051,0.0002739429473876953
resnet18_cbam,0.05,1633,0.9998113512992859,0.9998071789741516,4.172325134277344e-06
resnet18_cbam,0.1,1633,0.9998113512992859,0.9998041987419128,7.152557373046875e-06
resnet18_cbam,0.2,1633,0.9998113512992859,0.9998247027397156,-1.33514404296875e-05
resnet18_cbam,0.05,5569,0.8172409534454346,0.726584792137146,0.09065616130828857
resnet18_cbam,0.1,5569,0.8172409534454346,0.6391766667366028,0.1780642867088318
resnet18_cbam,0.2,5569,0.8172409534454346,0.6659303307533264,0.15131062269210815
resnet18_cbam,0.05,32022,0.9994366765022278,0.9990904331207275,0.00034624338150024414
resnet18_cbam,0.1,32022,0.9994366765022278,0.889520525932312,0.10991615056991577
resnet18_cbam,0.2,32022,0.9994366765022278,0.9961510896682739,0.0032855868339538574
resnet18_cbam,0.05,4352,0.9993966817855835,0.9992940425872803,0.00010263919830322266
resnet18_cbam,0.1,4352,0.9993966817855835,0.9974921941757202,0.0019044876098632812
resnet18_cbam,0.2,4352,0.9993966817855835,0.9933202266693115,0.006076455116271973
resnet18_cbam,0.05,5398,0.9966874718666077,0.9968135952949524,-0.00012612342834472656
resnet18_cbam,0.1,5398,0.9966874718666077,0.997010350227356,-0.000322878360748291
resnet18_cbam,0.2,5398,0.9966874718666077,0.997668445110321,-0.000980973243713379
resnet18_cbam,0.05,1836,0.9996070265769958,0.9996070265769958,0.0
resnet18_cbam,0.1,1836,0.9996070265769958,0.9996070265769958,0.0
resnet18_cbam,0.2,1836,0.9996070265769958,0.9996070265769958,0.0
resnet18_cbam,0.05,6819,0.9311992526054382,0.9337966442108154,-0.0025973916053771973
resnet18_cbam,0.1,6819,0.9311992526054382,0.9301306009292603,0.0010686516761779785
resnet18_cbam,0.2,6819,0.9311992526054382,0.9732561707496643,-0.042056918144226074
resnet18_cbam,0.05,30428,0.9960391521453857,0.9963478446006775,-0.00030869245529174805
resnet18_cbam,0.1,30428,0.9960391521453857,0.9964084029197693,-0.0003692507743835449
resnet18_cbam,0.2,30428,0.9960391521453857,0.9964345693588257,-0.0003954172134399414
resnet18_cbam,0.05,11121,0.9988929629325867,0.998955488204956,-6.252527236938477e-05
resnet18_cbam,0.1,11121,0.9988929629325867,0.998995840549469,-0.00010287761688232422
resnet18_cbam,0.2,11121,0.9988929629325867,0.9996515512466431,-0.0007585883140563965
resnet18_cbam,0.05,34333,0.930343747138977,0.9357689619064331,-0.005425214767456055
resnet18_cbam,0.1,34333,0.930343747138977,0.9408774971961975,-0.010533750057220459
resnet18_cbam,0.2,34333,0.930343747138977,0.9795807003974915,-0.049236953258514404
resnet18_cbam,0.05,11558,0.9936044812202454,0.9937853813171387,-0.00018090009689331055
resnet18_cbam,0.1,11558,0.9936044812202454,0.9925742149353027,0.001030266284942627
resnet18_cbam,0.2,11558,0.9936044812202454,0.997802197933197,-0.00419771671295166
resnet18_cbam,0.05,15095,0.995283305644989,0.9953409433364868,-5.7637691497802734e-05
resnet18_cbam,0.1,15095,0.995283305644989,0.9941323399543762,0.001150965690612793
resnet18_cbam,0.2,15095,0.995283305644989,0.9948528409004211,0.0004304647445678711
resnet18_cbam,0.05,5482,0.9999868869781494,0.9999885559082031,-1.6689300537109375e-06
resnet18_cbam,0.1,5482,0.9999868869781494,0.9999899864196777,-3.0994415283203125e-06
resnet18_cbam,0.2,5482,0.9999868869781494,0.9999997615814209,-1.2874603271484375e-05
resnet18_cbam,0.05,27612,0.9998760223388672,0.9999055862426758,-2.956390380859375e-05
resnet18_cbam,0.1,27612,0.9998760223388672,0.9999192953109741,-4.3272972106933594e-05
resnet18_cbam,0.2,27612,0.9998760223388672,0.9999449253082275,-6.890296936035156e-05
resnet18_cbam,0.05,9711,0.549860954284668,0.5548112988471985,-0.004950344562530518
resnet18_cbam,0.1,9711,0.549860954284668,0.6758245229721069,-0.12596356868743896
