family,sample_idx,deletion_auc,insertion_auc
resnet18_cbam,1458,0.6670703235741366,0.6061940588347238
resnet18_cbam,9806,0.16292037471760312,0.23207486295865837
resnet18_cbam,5362,0.508130319477046,0.4618956416188239
resnet18_cbam,20186,0.39581716267469946,0.4260408446910262
resnet18_cbam,13709,0.22240812207546198,0.2445321904535901
resnet18_cbam,4101,0.2545075497179141,0.0885395822820243
resnet18_cbam,25601,0.6619779101774188,0.6785975147503601
resnet18_cbam,4094,0.46334662507713775,0.501291079789454
resnet18_cbam,25595,0.45237283898181113,0.5096330051929899
resnet18_cbam,4100,0.3842572055960521,0.38589703243475126
resnet18_cbam,6861,0.17514623296272394,0.19386748373776952
resnet18_cbam,4593,0.5822918495887681,0.515862481214129
resnet18_cbam,9904,0.40886942581025026,0.3978324003455484
resnet18_cbam,9906,0.25884767587914936,0.23900246825837002
resnet18_cbam,18601,0.6140870318597704,0.474853326145942
resnet18_cbam,4584,0.5023814380927507,0.5408910166771711
resnet18_cbam,9143,0.4968665020298369,0.5260391344089119
resnet18_cbam,7916,0.4051412987223297,0.38433378525593564
resnet18_cbam,16545,0.6038016291614203,0.5559501821381043
resnet18_cbam,3044,0.41552157032528714,0.433313063557884
resnet18_cbam,2299,0.3762087145438675,0.35691202833871266
resnet18_cbam,4121,0.692743626856481,0.5169974274945979
resnet18_cbam,4150,0.6522383906474886,0.68655312997958
resnet18_cbam,10215,0.4538400887951042,0.5346105113030717
resnet18_cbam,4160,0.7205478212481015,0.5822590475428977
resnet18_cbam,4109,0.6014343966182802,0.4861019427985543
resnet18_cbam,10845,0.25910537286933755,0.05775673628713207
resnet18_cbam,4113,0.2726971002358558,0.6722410841205508
resnet18_cbam,4174,0.7682477582296291,0.28127928920816764
resnet18_cbam,4951,0.30213081716530876,0.3705903493913316
resnet18_cbam,4139,0.6711349484524738,0.7219869377621627
resnet18_cbam,4136,0.5375287616570359,0.5082111186295369
resnet18_cbam,4114,0.4227432866174403,0.6472958491434835
resnet18_cbam,4087,0.6192050518527672,0.6204939193169997
resnet18_cbam,4110,0.5180128050547976,0.4420284782881872
resnet18_cbam,1627,0.38898986839140903,0.2998311886444128
resnet18_cbam,10935,0.13778419083899343,0.07551751616662081
resnet18_cbam,4606,0.5267455661446161,0.5999552225491214
resnet18_cbam,4164,0.7234487330098566,0.764422277564681
resnet18_cbam,26687,0.020778166052807325,0.01744994357002483
resnet18_cbam,4169,0.3714557629168667,0.4670198228362825
resnet18_cbam,4605,0.6585639522683513,0.6951049969427296
resnet18_cbam,10918,0.5086923281830902,0.5261973507624429
resnet18_cbam,20030,0.6248822064698515,0.5801300532844202
resnet18_cbam,29752,0.2793376656062381,0.28084843365492357
resnet18_cbam,25340,0.173776657888389,0.1371309357858342
resnet18_cbam,994,0.656384878271479,0.620173986150868
resnet18_cbam,25590,0.12219362204868917,0.10061002789176766
resnet18_cbam,19770,0.17790891080378887,0.17519469521994283
resnet18_cbam,3534,0.2740107531250627,0.2739267007712859
resnet18_cbam,19860,0.6724312636084949,0.6746924845897286
resnet18_cbam,25599,0.17430252436992655,0.17422208707513745
resnet18_cbam,19849,0.12768296235326404,0.1277201481498886
resnet18_cbam,25604,0.07453602141280871,0.07450508503745926
resnet18_cbam,3628,0.22413185916622125,0.2241018313202157
resnet18_cbam,24624,0.02488852751735877,0.024849263601609023
resnet18_cbam,19741,0.22428850213944454,0.2241216469650313
resnet18_cbam,19783,0.1743335512152466,0.17431685796378274
resnet18_cbam,14473,0.10504247758882147,0.08829111638780737
resnet18_cbam,34331,0.2738983153601416,0.27388334343149046
resnet18_cbam,33036,0.10677994221538951,0.12315538697205392
resnet18_cbam,25277,0.1303138256958681,0.1239094023609669
resnet18_cbam,7807,0.3237304781270439,0.3237199806394388
resnet18_cbam,25320,0.2241400677339442,0.22412458542839186
resnet18_cbam,527,0.2241211247234723,0.22412139296296962
densenet121,11598,0.9289998000494961,0.8418348437517125
densenet121,8612,0.9716565105700283,0.9226566742472642
densenet121,32384,0.9426014063938055,0.9619091884414956
